Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
7.0%,26.9,39.4,37.5,76.4,116.5,4.3,56%,40%,4%,31%,22%,15%,15%,17%
3.7%,39.5,49.7,48.3,89.4,133.3,3.4,33%,65%,3%,32%,23%,16%,15%,15%
4.5%,35.4,43.1,40.6,73.6,125.9,3.6,47%,44%,9%,30%,23%,16%,15%,17%
2.5%,26.9,36.1,41.9,69.9,117.0,4.4,39%,59%,2%,32%,22%,14%,15%,18%
3.6%,40.4,58.3,52.3,82.8,138.3,3.4,39%,52%,9%,29%,21%,17%,15%,19%
1.6%,24.2,28.6,36.1,58.2,110.4,4.6,56%,40%,4%,35%,23%,14%,14%,15%
1.8%,31.3,37.7,42.7,70.4,119.4,3.8,42%,56%,2%,34%,22%,17%,14%,13%
0.8%,14.5,20.7,34.0,49.3,85.9,5.9,33%,64%,3%,34%,23%,15%,14%,14%
1.2%,18.6,24.6,33.5,51.1,97.5,5.3,49%,46%,5%,32%,23%,15%,15%,15%
2.2%,38.5,47.4,43.9,71.2,131.4,3.4,45%,53%,2%,32%,23%,16%,15%,15%
0.4%,32.7,44.1,48.2,65.0,122.4,3.7,18%,78%,4%,34%,24%,15%,15%,12%
1.2%,12.0,30.7,35.9,55.6,79.8,6.6,39%,56%,5%,32%,20%,16%,15%,16%
0.5%,17.3,22.9,35.4,50.0,93.7,5.4,41%,57%,2%,31%,22%,16%,15%,16%
4.7%,35.7,44.8,39.8,71.0,126.4,3.5,47%,51%,2%,29%,24%,14%,16%,17%
0.7%,11.0,16.5,30.6,41.7,75.9,6.9,43%,51%,6%,30%,22%,15%,16%,17%
6.5%,38.0,57.8,46.4,80.9,130.1,3.4,32%,60%,7%,29%,21%,17%,17%,16%
5.7%,32.5,58.5,52.7,81.9,126.7,3.9,33%,59%,8%,33%,21%,14%,15%,18%
1.1%,28.1,38.6,39.5,61.6,119.0,4.2,38%,57%,5%,30%,22%,15%,16%,17%
2.3%,24.3,32.0,34.4,59.7,110.5,4.5,52%,43%,5%,31%,23%,15%,15%,16%
3.5%,28.8,49.9,41.9,68.2,120.7,4.2,22%,71%,7%,34%,19%,15%,16%,16%
2.8%,33.8,47.3,47.5,70.3,125.7,3.7,27%,64%,9%,30%,20%,16%,17%,17%
1.4%,25.5,39.5,47.2,82.8,115.3,4.5,41%,57%,2%,32%,22%,15%,15%,16%
1.2%,33.0,41.3,49.7,71.5,123.0,3.7,22%,75%,3%,29%,20%,18%,15%,18%
1.5%,36.2,45.5,51.7,85.0,128.9,3.6,36%,61%,3%,32%,22%,16%,15%,15%
1.3%,25.8,41.9,39.8,67.3,115.4,4.5,16%,81%,3%,28%,20%,15%,16%,21%
1.4%,24.4,34.4,45.6,69.4,112.1,4.6,39%,57%,4%,31%,22%,15%,16%,16%
1.5%,15.7,25.2,38.0,55.2,90.4,5.7,38%,57%,5%,32%,20%,14%,16%,18%
1.8%,28.0,51.0,48.1,72.8,121.4,4.3,29%,64%,7%,33%,20%,15%,16%,16%
0.6%,22.7,32.9,40.0,59.3,107.4,4.7,38%,58%,4%,29%,20%,17%,15%,19%
0.8%,21.9,37.0,42.4,65.4,105.1,4.8,30%,66%,3%,34%,20%,15%,16%,16%
1.3%,35.1,52.5,51.5,77.8,129.8,3.7,36%,59%,5%,28%,22%,16%,16%,17%
1.2%,28.9,42.6,50.7,87.3,123.2,4.3,36%,61%,3%,32%,22%,15%,15%,16%
1.2%,36.1,51.9,52.6,87.5,129.6,3.6,35%,62%,3%,32%,22%,16%,15%,15%
0.6%,24.1,37.4,44.6,71.2,110.9,4.6,38%,59%,3%,31%,20%,16%,16%,16%
0.4%,23.4,31.7,42.9,70.6,109.1,4.7,31%,65%,3%,32%,21%,15%,15%,17%
1.5%,19.1,33.9,41.2,68.6,99.7,5.2,32%,64%,4%,33%,20%,15%,16%,16%
1.9%,62.7,82.6,53.0,87.6,163.4,2.6,36%,60%,5%,32%,20%,15%,16%,18%
3.1%,48.3,69.4,60.2,84.8,151.6,3.1,31%,54%,15%,35%,19%,13%,14%,19%
2.7%,39.1,47.0,39.9,71.0,131.9,3.4,46%,48%,6%,32%,25%,14%,14%,15%
1.9%,27.5,40.4,51.1,83.5,122.1,4.4,43%,54%,2%,30%,21%,15%,17%,17%
1.1%,20.1,34.9,41.8,60.4,101.4,5.1,26%,70%,4%,38%,19%,14%,16%,14%
0.1%,23.6,33.7,44.0,62.0,108.7,4.6,29%,67%,3%,32%,23%,16%,15%,13%
2.9%,55.9,75.4,60.0,89.1,162.1,2.9,37%,49%,14%,37%,20%,13%,13%,18%
0.6%,23.5,28.2,43.2,61.0,109.8,4.7,35%,61%,4%,33%,21%,16%,16%,15%
0.2%,21.2,30.2,38.8,55.7,103.5,4.9,22%,73%,4%,28%,21%,16%,17%,19%
1.7%,29.1,43.8,48.6,74.6,122.9,4.2,35%,59%,5%,33%,20%,14%,16%,17%
0.3%,24.5,30.7,46.6,64.5,111.5,4.6,28%,67%,4%,31%,21%,16%,16%,17%
0.3%,11.8,19.1,33.6,41.5,79.6,6.7,38%,55%,7%,34%,22%,15%,15%,15%
0.3%,17.8,32.1,39.2,62.6,95.1,5.3,29%,68%,4%,30%,22%,16%,15%,17%
2.1%,47.6,67.1,63.2,84.4,152.2,3.2,33%,53%,14%,37%,19%,13%,14%,18%
3.2%,42.7,65.4,54.6,86.7,141.7,3.3,31%,62%,7%,29%,21%,18%,17%,15%
1.0%,25.2,38.2,44.1,71.9,114.2,4.5,40%,57%,3%,30%,21%,16%,17%,16%
0.5%,18.1,29.3,36.0,49.2,94.9,5.2,21%,74%,5%,30%,20%,15%,17%,18%
4.0%,55.2,84.1,53.5,96.7,154.1,2.8,34%,59%,7%,33%,21%,15%,15%,15%
3.3%,41.8,60.7,50.6,83.0,138.7,3.3,33%,59%,7%,30%,21%,18%,16%,15%
1.6%,30.4,38.2,44.7,71.8,123.8,4.1,21%,74%,5%,30%,20%,17%,14%,19%
3.2%,41.1,64.8,57.0,84.6,141.3,3.4,26%,66%,8%,27%,21%,17%,15%,20%
1.6%,29.4,37.6,49.4,79.6,123.0,4.2,23%,72%,5%,35%,20%,15%,16%,15%
0.4%,28.8,37.3,42.1,70.4,120.2,4.2,35%,62%,3%,32%,22%,15%,16%,15%
7.7%,35.3,51.3,44.6,88.3,126.1,3.6,27%,69%,3%,28%,19%,14%,17%,21%
1.2%,29.3,45.0,52.3,83.1,125.7,4.3,31%,63%,5%,33%,20%,16%,16%,15%
1.8%,30.9,44.1,49.3,80.4,128.3,4.2,43%,53%,5%,30%,22%,15%,15%,17%
0.8%,21.7,36.7,40.3,60.0,104.3,4.8,26%,69%,5%,31%,20%,15%,16%,18%
3.0%,33.3,43.3,43.2,71.4,122.4,3.7,25%,68%,6%,26%,20%,19%,16%,19%
0.1%,16.1,26.4,42.8,55.0,91.2,5.7,31%,65%,4%,33%,21%,15%,14%,17%
0.6%,28.2,39.9,50.7,78.3,122.2,4.3,39%,57%,3%,31%,22%,16%,17%,15%
2.2%,71.7,98.9,59.6,107.3,181.5,2.5,35%,61%,4%,30%,20%,16%,17%,17%
1.7%,40.1,59.8,68.7,94.6,143.1,3.6,40%,55%,6%,29%,22%,16%,15%,18%
2.4%,33.1,52.2,50.7,78.9,125.6,3.8,21%,73%,6%,29%,21%,17%,15%,19%
1.0%,22.2,33.9,44.5,74.8,107.5,4.8,34%,62%,5%,33%,20%,15%,16%,15%
1.3%,66.3,86.6,60.8,92.5,174.7,2.6,27%,68%,5%,30%,20%,16%,17%,18%
1.1%,34.4,42.5,40.7,61.8,124.7,3.6,37%,57%,6%,32%,23%,14%,15%,15%
0.9%,20.2,26.1,40.6,59.9,101.4,5.0,22%,72%,6%,26%,19%,18%,17%,21%
0.2%,25.1,31.6,42.0,53.8,111.0,4.4,16%,79%,5%,31%,22%,17%,16%,14%
3.9%,45.3,70.6,50.6,88.7,141.2,3.1,28%,68%,5%,29%,21%,16%,16%,18%
3.2%,62.1,84.2,51.9,97.4,162.6,2.6,39%,54%,6%,30%,22%,16%,15%,17%
0.3%,17.4,25.7,40.7,57.9,94.3,5.4,37%,60%,3%,32%,21%,16%,16%,16%
0.6%,32.0,36.6,47.3,75.6,120.7,3.8,36%,60%,4%,31%,20%,15%,16%,18%
3.9%,60.1,93.8,60.4,102.1,164.7,2.7,32%,60%,8%,33%,21%,16%,15%,15%
3.1%,70.5,100.3,53.6,114.7,177.5,2.5,32%,64%,4%,33%,24%,16%,14%,14%
2.1%,78.0,98.5,56.6,113.1,189.4,2.4,40%,55%,5%,33%,23%,15%,13%,15%
3.0%,52.7,78.4,57.4,94.1,153.5,2.9,36%,57%,8%,35%,20%,15%,15%,15%
3.7%,36.2,53.7,42.7,79.7,129.4,3.6,25%,70%,5%,32%,22%,15%,14%,18%
5.6%,45.1,63.6,47.2,90.6,140.5,3.1,30%,62%,8%,28%,20%,16%,17%,18%
0.8%,32.6,45.7,43.0,56.5,121.0,3.7,32%,60%,8%,35%,22%,13%,15%,14%
1.5%,31.6,44.5,44.2,73.7,120.8,3.8,32%,63%,5%,31%,21%,15%,17%,16%
1.2%,36.1,56.1,49.6,75.9,128.8,3.6,28%,67%,5%,31%,23%,15%,16%,15%
3.9%,55.0,80.6,54.5,92.7,154.3,2.8,33%,58%,9%,30%,20%,16%,16%,18%
3.8%,43.1,71.5,53.3,86.2,141.1,3.3,34%,61%,5%,31%,21%,16%,16%,16%
10.5%,43.1,72.2,47.7,93.3,137.9,3.2,36%,56%,7%,28%,20%,14%,16%,21%
0.7%,29.0,36.9,40.1,51.1,120.4,4.2,23%,71%,5%,26%,20%,16%,17%,21%
8.0%,37.6,57.6,47.9,89.4,129.8,3.5,43%,53%,4%,34%,21%,13%,15%,17%
0.3%,16.8,21.7,40.6,52.5,93.3,5.6,22%,73%,5%,33%,19%,15%,17%,17%
3.3%,77.1,109.1,57.0,129.1,187.6,2.4,28%,69%,3%,30%,19%,15%,17%,20%
1.8%,31.7,44.2,48.7,84.2,121.8,3.8,19%,78%,3%,29%,20%,16%,15%,20%
0.9%,36.9,42.0,44.9,63.9,128.1,3.5,23%,71%,6%,28%,21%,18%,18%,15%
0.0%,14.5,18.5,44.6,51.1,87.7,6.0,25%,70%,5%,31%,21%,16%,15%,16%
