Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
4.60%,31.9,40.9,44.7,76.0,148.0,4.6,35%,49%,16%,26%,21%,15%,17%,20%
0.43%,43.1,54.7,52.7,70.9,176.4,4.1,37%,59%,5%,26%,22%,16%,17%,19%
3.61%,130.8,154.3,87.1,188.2,347.9,2.7,8%,90%,2%,27%,24%,16%,16%,17%
1.98%,91.6,109.0,69.2,120.3,271.5,3.0,10%,86%,4%,28%,21%,15%,16%,20%
4.62%,111.9,143.7,76.8,153.4,311.6,2.8,11%,87%,2%,26%,22%,15%,17%,19%
0.40%,75.2,82.6,61.8,85.7,237.2,3.2,19%,79%,2%,26%,21%,15%,17%,20%
1.51%,108.3,127.7,92.6,177.8,315.0,2.9,3%,95%,2%,29%,22%,16%,16%,16%
3.22%,70.9,94.8,64.9,119.9,228.9,3.2,5%,89%,6%,26%,21%,16%,20%,17%
1.11%,69.4,87.6,68.2,108.1,230.7,3.3,16%,81%,3%,26%,21%,16%,18%,19%
2.80%,51.3,77.1,55.6,97.6,190.9,3.7,14%,82%,4%,26%,21%,17%,20%,16%
3.32%,39.3,60.4,70.5,122.4,175.4,4.5,20%,78%,3%,33%,23%,16%,14%,14%
3.35%,90.6,117.1,80.0,145.0,278.8,3.1,25%,72%,2%,30%,22%,15%,16%,16%
4.66%,57.7,73.2,61.9,119.9,202.0,3.5,31%,59%,10%,22%,25%,16%,19%,17%
5.50%,74.5,100.6,70.4,144.1,239.9,3.2,21%,74%,5%,29%,22%,15%,17%,17%
0.10%,19.7,27.9,42.2,53.6,152.7,7.8,61%,33%,6%,27%,21%,16%,18%,19%
1.57%,65.0,86.0,68.8,105.5,221.9,3.4,20%,76%,5%,28%,22%,15%,17%,18%
