Market penetration (%),Beeline distance (mi),Road distance (mi),eVTOL time (min),Road time (min),eVTOL cost (USD),eVTOL cost per mile (USD/mi),Commute trips share,Personal trips share,Business trips share,Income band A trips share,Income band B trips share,Income band C trips share,Income band D trips share,Income band E trips share
1.9%,67.5,76.0,70.9,100.1,176.1,2.6,8%,87%,5%,32%,24%,17%,14%,14%
1.9%,62.2,78.3,64.1,86.8,167.8,2.7,7%,88%,5%,32%,26%,18%,14%,9%
1.9%,45.9,54.1,63.3,94.9,143.1,3.1,10%,84%,6%,35%,22%,15%,13%,15%
1.9%,126.6,145.9,98.2,148.8,272.1,2.2,5%,90%,5%,44%,25%,15%,10%,6%
1.9%,103.8,116.0,81.7,119.9,236.1,2.3,7%,89%,4%,34%,24%,16%,13%,14%
1.9%,223.7,261.9,121.2,263.3,389.8,1.7,2%,94%,5%,36%,23%,16%,13%,12%
1.9%,66.2,75.2,77.6,107.0,175.1,2.6,9%,86%,5%,39%,24%,15%,11%,12%
1.8%,78.8,88.1,77.7,114.4,198.8,2.5,6%,89%,6%,40%,25%,15%,11%,9%
1.8%,137.5,154.8,101.8,151.3,288.8,2.1,4%,91%,5%,38%,27%,16%,11%,7%
1.8%,88.4,102.7,77.2,103.2,211.9,2.4,10%,85%,5%,31%,23%,17%,16%,14%
1.7%,198.3,237.1,112.9,235.4,361.9,1.8,2%,94%,4%,31%,26%,19%,11%,12%
1.7%,94.3,109.8,76.0,112.2,220.0,2.3,4%,92%,4%,35%,30%,18%,12%,6%
1.7%,218.3,260.1,117.9,261.2,385.0,1.8,4%,92%,4%,38%,25%,18%,11%,8%
1.7%,55.1,65.3,62.2,88.8,155.3,2.8,10%,84%,6%,31%,23%,16%,14%,16%
1.6%,41.9,46.5,56.3,85.0,136.3,3.3,11%,83%,6%,37%,22%,14%,12%,14%
1.6%,80.8,91.7,71.0,102.7,197.2,2.4,10%,86%,4%,34%,29%,18%,12%,8%
1.6%,55.7,72.8,60.9,83.2,157.1,2.8,6%,89%,4%,32%,26%,17%,14%,10%
1.5%,46.1,49.6,46.1,66.2,144.5,3.1,9%,88%,4%,31%,28%,15%,15%,11%
1.5%,109.2,126.3,88.3,122.7,247.5,2.3,5%,90%,5%,38%,25%,16%,12%,9%
1.5%,35.4,50.9,61.2,85.9,132.0,3.7,12%,83%,5%,38%,26%,16%,12%,8%
1.5%,43.1,51.8,60.8,85.2,139.2,3.2,10%,84%,6%,36%,22%,15%,13%,14%
1.5%,64.0,76.7,68.8,95.5,170.6,2.7,8%,87%,5%,39%,25%,16%,11%,9%
1.5%,60.6,75.7,63.3,86.2,166.2,2.7,7%,87%,6%,52%,23%,12%,9%,5%
1.5%,123.5,138.4,93.5,131.9,266.6,2.2,6%,90%,4%,33%,24%,16%,14%,12%
1.4%,99.9,112.8,84.9,115.2,232.2,2.3,5%,91%,4%,30%,23%,16%,14%,16%
1.3%,53.7,70.0,59.6,80.2,155.9,2.9,6%,89%,5%,40%,27%,15%,10%,8%
1.3%,40.2,59.8,65.8,89.2,140.4,3.5,7%,87%,5%,40%,25%,15%,12%,9%
1.3%,69.4,81.8,67.7,88.5,178.8,2.6,8%,87%,5%,32%,25%,17%,14%,11%
1.2%,43.5,57.8,52.3,74.6,139.1,3.2,9%,87%,4%,36%,25%,17%,13%,9%
1.2%,79.7,103.3,79.3,98.3,200.0,2.5,5%,91%,4%,35%,28%,16%,12%,8%
1.2%,50.8,58.3,64.2,89.6,151.2,3.0,12%,83%,5%,31%,23%,16%,15%,16%
1.2%,27.6,36.9,55.3,87.8,120.1,4.4,17%,79%,4%,36%,25%,16%,14%,9%
1.2%,53.4,70.2,58.6,78.5,153.7,2.9,7%,88%,5%,37%,26%,17%,13%,8%
1.2%,49.2,66.2,62.5,79.6,150.8,3.1,10%,86%,5%,32%,26%,18%,14%,10%
1.2%,38.0,49.9,54.5,79.2,130.1,3.4,13%,83%,4%,33%,24%,17%,15%,11%
1.2%,125.0,134.5,89.9,125.3,268.1,2.1,5%,91%,5%,35%,29%,18%,12%,6%
1.2%,55.0,68.0,58.9,81.4,154.0,2.8,7%,89%,5%,37%,27%,17%,12%,7%
1.1%,75.8,86.1,69.8,96.4,189.9,2.5,9%,87%,4%,34%,29%,18%,12%,8%
1.1%,103.9,117.8,88.0,110.4,240.2,2.3,5%,89%,5%,35%,26%,17%,13%,9%
1.1%,55.4,65.9,67.1,92.6,160.1,2.9,9%,86%,5%,39%,26%,16%,11%,8%
1.1%,69.7,89.0,74.7,93.4,185.0,2.7,6%,89%,5%,35%,26%,17%,12%,9%
1.1%,64.3,74.6,64.3,86.5,169.0,2.6,13%,83%,4%,31%,27%,17%,13%,12%
1.1%,62.1,77.7,65.2,84.2,166.1,2.7,4%,92%,4%,37%,28%,15%,11%,9%
1.1%,40.9,53.2,59.3,85.2,136.5,3.3,12%,83%,4%,33%,25%,17%,15%,10%
1.1%,32.7,42.6,59.5,84.9,124.2,3.8,14%,81%,5%,38%,24%,16%,12%,10%
1.0%,53.9,73.5,58.1,76.5,154.7,2.9,6%,89%,5%,42%,28%,15%,9%,6%
1.0%,51.5,66.8,60.6,81.1,152.2,3.0,7%,88%,4%,34%,26%,17%,13%,10%
1.0%,47.0,57.5,56.6,77.2,145.2,3.1,8%,87%,5%,38%,26%,17%,13%,6%
0.9%,28.8,37.3,53.9,85.9,120.5,4.2,14%,80%,5%,39%,23%,15%,12%,11%
0.9%,137.6,146.7,94.6,132.4,286.3,2.1,4%,92%,4%,39%,30%,16%,10%,5%
0.9%,102.9,110.6,84.1,109.1,235.6,2.3,8%,88%,5%,42%,26%,16%,11%,5%
0.8%,42.6,58.8,53.6,71.3,138.5,3.3,8%,88%,5%,37%,27%,16%,12%,8%
0.8%,50.5,57.7,62.3,83.1,152.2,3.0,10%,85%,5%,38%,26%,16%,11%,9%
0.8%,55.2,61.0,61.9,83.0,155.1,2.8,9%,86%,5%,30%,22%,17%,15%,17%
0.7%,17.2,21.8,48.8,73.2,93.5,5.4,19%,77%,4%,41%,24%,15%,11%,10%
0.6%,59.2,68.8,61.2,78.5,162.1,2.7,12%,84%,4%,35%,28%,18%,13%,6%
0.6%,26.2,34.4,50.9,74.6,114.8,4.4,16%,79%,5%,39%,24%,16%,12%,9%
0.6%,46.8,60.4,55.7,70.2,144.8,3.1,7%,89%,4%,33%,26%,17%,14%,11%
0.5%,55.4,67.1,59.9,79.4,155.1,2.8,5%,92%,3%,31%,27%,16%,14%,11%
0.5%,27.7,34.4,53.7,75.5,116.8,4.2,13%,81%,5%,40%,23%,15%,11%,12%
0.5%,32.2,39.1,59.8,70.8,122.6,3.8,12%,82%,5%,39%,23%,15%,12%,11%
0.5%,17.1,23.7,47.8,63.5,92.5,5.4,23%,73%,4%,34%,22%,16%,14%,14%
0.5%,24.6,30.0,46.7,69.6,110.8,4.5,16%,79%,5%,41%,24%,14%,11%,10%
0.5%,46.4,60.1,50.7,67.6,141.8,3.1,9%,87%,4%,32%,26%,18%,15%,9%
0.4%,89.6,95.5,79.4,94.7,215.7,2.4,6%,89%,6%,47%,27%,14%,8%,4%
0.4%,29.7,39.4,55.5,73.9,124.2,4.2,15%,80%,5%,39%,24%,16%,12%,9%
0.4%,36.5,47.1,49.0,66.3,127.3,3.5,12%,83%,5%,36%,27%,17%,13%,8%
0.4%,33.6,46.1,48.7,63.8,123.2,3.7,10%,85%,5%,29%,26%,18%,15%,12%
0.4%,15.2,21.5,47.1,57.6,88.4,5.8,19%,76%,5%,45%,25%,14%,9%,7%
0.4%,46.2,56.5,58.1,72.9,144.3,3.1,7%,88%,5%,41%,27%,15%,10%,7%
0.4%,38.5,44.1,59.3,78.6,132.2,3.4,14%,81%,5%,37%,26%,16%,11%,9%
0.3%,26.5,33.8,48.7,67.8,117.6,4.4,15%,79%,5%,32%,24%,17%,13%,14%
0.3%,20.0,26.9,52.6,64.9,103.4,5.2,22%,74%,4%,36%,25%,16%,14%,9%
